-14.33	-40.91	CAETANOS	BA
-14.06	-42.47	CAETITE	BA
-11.69	-41.46	CAFARNAUM	BA
-13.48	-39.04	CAIRU	BA
-11.02	-40.30	CALDEIRAOGRANDE	BA
-15.41	-39.49	CAMACAN	BA
-12.69	-38.32	CAMACARI	BA
-13.94	-39.10	CAMAMU	BA
-9.51	-43.01	CAMPOALEGREDELOURDES	BA
-10.50	-40.32	CAMPOFORMOSO	BA
-13.07	-44.20	CANAPOLIS	BA
-11.68	-41.76	CANARANA	BA
-15.67	-38.94	CANAVIEIRAS	BA
-11.80	-39.11	CANDEAL	BA
-12.66	-38.55	CANDEIAS	BA
-14.41	-42.86	CANDIBA	BA
-15.50	-41.23	CANDIDOSALES	BA
-10.67	-39.49	CANSANCAO	BA
-9.90	-39.13	CANUDOS	BA
-11.66	-39.83	CAPELADOALTOALEGRE	BA
-11.38	-40.01	CAPIMGROSSO	BA
-14.60	-41.33	CARAIBAS	BA
-17.73	-39.26	CARAVELAS	BA
-11.94	-37.94	CARDEALDASILVA	BA
-14.30	-43.76	CARINHANHA	BA
-9.16	-40.97	CASANOVA	BA
-12.76	-39.42	CASTROALVES	BA
-12.31	-44.86	CATOLANDIA	BA
-12.35	-38.37	CATU	BA
-13.32	-42.29	CATURAMA	BA
-11.13	-42.11	CENTRAL	BA
-8.98	-39.09	CHORROCHO	BA
-10.60	-38.38	CICERODANTAS	BA
-11.10	-38.51	CIPO	BA
-14.64	-39.55	COARACI	BA
-14.18	-44.53	COCOS	BA
-12.50	-38.99	CONCEICAODAFEIRA	BA
-12.80	-39.16	CONCEICAODOALMEIDA	BA
-11.56	-39.28	CONCEICAODOCOITE	BA
-12.42	-38.72	CONCEICAODOJACUIPE	BA
-11.81	-37.61	CONDE	BA
-14.89	-41.96	CONDEUBA	BA
-13.76	-41.04	CONTENDASDOSINCORA	BA
-12.23	-38.75	CORACAODEMARIA	BA
-15.03	-41.93	CORDEIROS	BA
-13.82	-44.45	CORIBE	BA
-10.28	-37.92	CORONELJOAOSA	BA
-13.34	-44.63	CORRENTINA	BA
-12.02	-44.25	COTEGIPE	BA
-13.35	-39.81	CRAVOLANDIA	BA
-11.51	-38.15	CRISOPOLIS	BA
-12.23	-44.42	CRISTOPOLIS	BA
-12.67	-39.10	CRUZDASALMAS	BA
-8.99	-39.90	CURACA	BA
-14.43	-39.90	DARIOMEIRA	BA
-12.61	-38.29	DIASD'AVILA	BA
-13.76	-41.77	DOMBASILIO	BA
-12.90	-39.19	DOMMACEDOCOSTA	BA
-12.94	-39.52	ELISIOMEDRADO	BA
-15.53	-40.90	ENCRUZILHADA	BA
-11.94	-38.08	ENTRERIOS	BA
-13.41	-42.14	ERICOCARDOSO	BA
-11.79	-37.94	ESPLANADA	BA
-10.50	-39.01	EUCLIDESDACUNHA	BA
-16.37	-39.58	EUNAPOLIS	BA
-10.60	-38.21	FATIMA	BA
-14.20	-44.28	FEIRADAMATA	BA
-12.26	-38.96	FEIRADESANTANA	BA
-10.74	-40.13	FILADELFIA	BA
-14.98	-39.92	FIRMINOALVES	BA
-14.86	-39.66	FLORESTAAZUL	BA
-11.04	-45.19	FORMOSADORIOPRETO	BA
-13.74	-39.48	GANDU	BA
-11.47	-39.78	GAVIAO	BA
-11.42	-42.50	GENTIODOOURO	BA
-9.33	-38.25	GLORIA	BA
-14.32	-39.46	GONGOGI	BA
-12.60	-39.04	GOVERNADORMANGABEIRA	BA
-14.54	-41.94	GUAJERU	BA
-14.22	-42.78	GUANAMBI	BA
-16.58	-39.78	GUARATINGA	BA
-10.68	-38.28	HELIOPOLIS	BA
-12.76	-40.21	IACU	BA
-14.25	-42.25	IBIASSUCE	BA
-14.86	-39.58	IBICARAI	BA
-13.41	-41.28	IBICOARA	BA
-14.84	-39.98	IBICUI	BA
-11.64	-42.01	IBIPEBA	BA
-12.88	-42.48	IBIPITANGA	BA
-12.65	-40.93	IBIQUERA	BA
-14.16	-39.37	IBIRAPITANGA	BA
-17.68	-40.10	IBIRAPUA	BA
-14.06	-39.64	IBIRATAIA	BA
-12.65	-42.21	IBITIARA	BA
-11.54	-41.97	IBITITA	BA
-12.18	-43.22	IBOTIRAMA	BA
-11.74	-39.19	ICHU	BA
-13.77	-42.71	IGAPORA	BA
-13.82	-39.14	IGRAPIUNA	BA
-14.75	-40.08	IGUAI	BA
-14.78	-39.04	ILHEUS	BA
-11.78	-38.35	INHAMBUPE	BA
-12.30	-39.30	IPECAETA	BA
-14.13	-39.73	IPIAU	BA
-12.15	-39.73	IPIRA	BA
-11.82	-42.61	IPUPIARA	BA
-13.25	-40.08	IRAJUBA	BA
-13.28	-40.95	IRAMAIA	BA
-12.24	-41.61	IRAQUARA	BA
-12.05	-38.76	IRARA	BA
-11.30	-41.85	IRECE	BA
-16.57	-39.55	ITABELA	BA
